s,p,d
4,29,843
3,10,2006
9,4,620
4,86,1872
4,48,534
4,18,1621
3,33,161
7,45,1916
8,22,706
4,58,1235
6,70,262
6,37,1408
3,93,2406
2,4,1981
8,15,751
7,82,951
10,82,1741
3,16,2112
7,71,2538
6,27,2171
8,32,2263
9,82,506
9,29,1965
2,47,903
8,12,1042
10,81,888
10,73,2007
2,80,412
6,45,675
5,88,728
9,46,2430
5,7,1766
7,90,1458
3,20,1645
8,28,1909
9,56,480
2,40,928
4,14,2006
4,68,1254
8,61,2014
8,74,892
5,47,1184
6,51,2513
7,39,151
4,41,1064
6,96,1014
7,2,1711
2,25,1735
9,78,1465
9,22,2369
1,20,1096
6,24,1364
5,77,353
10,7,1947
10,59,1323
3,21,411
2,67,1621
5,24,1407
4,50,2136
10,7,1764
2,66,757
4,39,2265
7,42,1527
7,62,202
10,37,759
5,54,1298
7,97,965
7,66,1642
4,7,1119
4,91,623
4,24,1330
3,45,2498
4,8,1355
1,12,1014
5,32,1889
4,59,2346
5,63,1387
3,63,1201
1,43,2468
6,31,128
2,10,2373
10,85,209
10,29,2021
5,2,1019
1,54,1156
10,32,512
5,87,1535
2,37,813
6,71,1006
4,44,2089
1,62,812
5,59,2297
1,39,1711
1,51,1692
6,86,1141
5,24,1321
4,5,1463
9,19,1059
8,84,2012
2,34,1415
