s,p,d
4,58,1629
7,30,162
2,52,507
9,48,452
4,77,658
2,91,574
2,70,1020
10,28,354
8,92,807
8,76,877
8,82,1370
8,69,1023
7,66,963
8,90,1110
8,18,1075
7,74,240
5,7,819
2,86,318
3,54,1292
4,38,788
4,25,1333
9,87,1071
7,53,898
3,80,922
1,56,656
4,40,1299
9,35,256
4,21,1649
7,91,874
6,95,646
9,86,666
8,87,1260
7,60,1384
6,47,1629
3,20,1445
10,59,1264
7,54,509
3,91,535
6,50,1855
7,57,555
10,77,743
7,30,127
3,25,1662
6,56,277
10,43,507
5,12,704
4,86,1656
3,54,487
10,4,1505
5,10,657
