s,p,d
10,59,1858
1,42,885
2,25,1482
1,53,457
6,35,1812
10,37,999
9,93,1122
1,60,575
1,89,502
2,50,1034
10,17,876
2,2,142
6,42,2080
1,54,965
2,82,399
10,29,754
1,84,1350
6,84,777
5,95,901
5,35,536
2,92,839
7,3,180
4,83,970
5,68,1412
8,23,1050
8,54,1766
2,80,1640
8,34,1959
10,89,1731
2,4,1410
5,8,485
10,77,299
9,40,552
7,72,1757
9,34,256
7,51,996
2,10,644
6,48,668
9,27,1574
1,85,1594
8,66,1197
8,93,1471
3,95,893
6,31,1091
8,42,2029
10,38,1007
7,11,208
7,96,1906
10,59,332
3,53,2007
1,21,396
1,66,493
1,28,1306
7,24,379
3,57,813
6,19,1776
4,49,1974
1,2,1932
5,17,1238
7,20,419
7,93,2009
6,44,658
3,42,1378
1,8,646
8,71,588
1,47,1380
9,82,1284
2,70,2090
1,90,559
3,59,287
4,47,865
9,99,1487
1,3,1880
5,85,1355
2,43,711
