s,p,d
7,20,193
8,37,309
3,77,446
7,56,300
2,51,427
10,37,295
7,75,323
6,1,43
3,23,320
9,13,86
9,84,345
9,97,503
6,60,309
3,79,373
9,52,136
4,20,262
9,91,459
9,45,426
9,35,197
4,12,178
6,1,276
3,90,610
4,70,360
4,42,301
3,15,279
8,67,459
8,90,612
9,74,392
9,37,179
1,66,454
2,61,320
9,94,379
8,4,283
2,86,298
8,77,327
7,60,160
9,97,366
2,71,305
3,71,464
3,94,250
6,76,195
3,68,338
7,81,423
6,24,261
9,59,367
1,25,273
2,41,333
10,37,375
3,40,397
2,32,347
10,22,126
1,93,525
7,38,175
3,90,621
1,96,515
9,76,334
8,89,281
1,30,220
10,53,390
7,56,375
8,76,534
6,57,207
4,38,153
6,25,32
6,87,299
10,41,341
6,43,202
7,42,361
2,27,301
6,38,249
2,24,370
1,33,44
10,52,394
1,54,477
6,61,153
6,18,175
3,47,310
4,46,282
10,59,199
1,78,281
3,46,321
6,57,320
5,74,375
2,67,331
9,79,442
6,90,123
4,89,349
8,50,286
1,65,458
1,26,252
4,22,258
5,86,251
6,42,236
7,60,113
4,74,395
2,46,301
8,25,70
6,7,208
2,12,209
10,66,504
