s,p,d
6,31,1564
5,16,959
10,34,2150
9,73,1916
7,7,1226
1,59,2389
4,6,1726
7,10,1542
3,68,2195
10,50,1488
1,64,2483
4,98,622
1,29,2927
4,72,1534
8,80,2700
6,23,2747
4,87,1556
2,8,2347
1,45,2486
5,11,518
2,79,1950
9,75,922
4,47,1596
10,21,2860
7,77,1666
6,1,336
2,85,2065
2,98,211
1,26,286
8,16,486
4,22,651
10,35,1740
7,11,1466
9,11,1789
9,73,2822
5,89,1896
10,69,1680
6,4,1171
5,41,2415
5,32,97
4,35,1557
10,69,1345
4,70,2581
6,33,2788
10,24,2388
2,91,2844
7,57,2830
10,89,1370
8,55,2934
9,50,731
7,89,2146
3,88,2320
10,9,1162
7,65,409
7,23,1792
4,97,1441
8,24,2846
6,51,2617
9,93,1062
8,17,2895
8,32,2374
8,34,643
9,76,2542
6,37,2699
9,29,398
7,85,451
10,72,369
8,65,2332
5,83,1082
5,13,630
10,36,1015
6,66,1587
7,83,260
3,70,245
10,39,514
9,54,2088
1,20,1495
4,16,994
2,78,133
9,14,511
4,7,2789
10,10,2381
10,11,1052
7,65,1782
3,46,213
5,38,1985
8,34,2046
7,63,135
2,17,1611
1,87,1359
9,99,2353
10,31,326
10,15,430
6,46,2324
7,68,2276
6,40,2295
6,18,849
4,49,2751
7,1,238
2,18,1321
