s,p,d
3,22,256
1,4,1502
8,81,458
3,48,1890
3,98,1674
2,61,1519
8,42,996
5,74,1081
4,59,1163
3,55,1562
1,14,1354
5,40,368
1,33,1864
4,69,1306
1,82,1457
7,64,448
8,43,499
6,19,1754
2,69,1031
10,77,1516
7,16,943
5,15,851
8,33,460
3,40,2133
6,74,379
1,18,1603
1,62,414
4,30,1275
9,24,640
3,79,1258
3,51,1200
10,38,302
8,15,1908
7,73,278
10,57,1147
2,32,374
7,9,1021
3,13,1889
8,58,1875
1,25,368
5,16,997
6,52,1457
9,89,1817
8,19,444
7,33,1858
3,81,1703
5,69,160
9,39,218
3,59,1027
3,99,2182
9,13,147
6,64,1391
6,10,1771
9,94,324
4,35,161
5,28,794
4,99,2194
9,80,1633
1,34,1254
4,21,281
9,39,1243
4,51,176
8,76,2018
9,78,630
3,93,570
8,9,1587
9,51,1518
8,51,203
4,47,422
6,72,1846
10,27,1464
10,65,1259
4,43,875
7,93,1104
9,86,2091
