s,p,d
6,89,441
5,37,1053
7,84,788
6,31,1800
10,11,1245
4,28,631
7,33,301
2,48,2152
1,32,1803
4,96,836
7,74,1416
1,87,902
6,59,2003
7,7,827
2,73,936
4,6,677
1,59,1525
8,16,664
8,55,1478
9,14,1135
9,77,212
10,84,401
8,11,818
5,24,1813
3,4,1791
6,47,376
1,11,815
8,20,516
5,72,1184
1,97,2412
5,89,333
4,74,2210
2,94,655
5,33,1626
6,42,1796
1,3,1235
10,42,1764
7,17,2021
6,69,753
4,55,604
6,50,367
8,93,481
10,62,1794
6,37,809
2,70,801
3,35,1363
9,13,1720
2,84,1816
6,59,472
8,19,735
9,77,1904
7,60,1666
1,4,1799
7,56,818
2,68,495
5,91,1497
6,77,1257
10,48,766
4,80,1020
10,56,1991
10,46,269
5,82,1429
4,65,1122
6,92,2288
1,4,1211
9,65,754
4,32,1636
7,53,1535
1,44,1207
2,97,1539
6,95,2048
6,93,845
4,76,2069
6,81,2396
5,52,1030
