s,p,d
9,97,536
1,87,233
1,98,241
4,4,103
9,34,261
7,33,260
6,88,504
8,15,162
10,40,294
5,54,219
6,13,105
2,29,119
9,85,487
9,90,410
7,85,455
4,85,383
3,67,354
1,73,295
5,34,138
8,55,369
1,80,446
2,96,351
6,29,184
5,43,219
5,29,151
8,32,110
10,77,276
7,99,257
5,77,263
8,64,418
4,35,131
9,1,131
10,41,124
10,87,250
3,58,245
9,41,260
4,6,14
7,15,127
5,8,140
7,76,230
6,89,212
10,47,171
2,70,225
9,7,87
2,48,196
1,62,421
6,32,206
8,81,395
3,5,153
9,59,194
