s,p,d
8,56,384
5,79,209
5,38,74
4,43,189
10,35,235
9,24,74
2,5,16
7,21,51
3,5,229
10,59,330
3,71,445
2,60,188
9,44,321
7,57,258
2,78,334
3,7,183
2,77,497
9,76,424
2,23,153
1,80,360
9,24,47
3,37,103
8,32,281
4,11,195
1,93,226
10,31,112
3,60,383
6,24,241
10,14,176
6,75,139
4,54,413
2,54,233
7,93,633
9,96,655
1,17,95
1,6,223
10,25,216
1,54,246
9,44,286
6,43,200
10,24,76
7,8,238
1,77,283
9,25,46
9,11,193
7,11,221
7,99,393
8,65,288
5,25,231
6,50,370
1,70,396
2,50,170
3,71,196
7,23,179
4,99,487
1,70,272
8,18,123
3,44,250
5,52,141
1,11,253
8,24,307
7,1,59
1,99,526
3,61,335
4,97,111
1,34,200
9,97,316
5,80,552
9,6,259
6,70,564
8,13,270
2,79,208
1,9,83
9,77,433
2,81,339
4,65,482
6,48,311
9,66,365
3,1,225
1,95,394
10,48,353
6,28,273
2,70,464
7,95,324
5,77,295
5,12,208
1,58,95
9,92,185
8,38,198
10,30,203
6,13,187
7,6,235
6,90,540
7,14,286
3,6,61
7,56,292
2,24,189
8,97,611
5,20,153
9,30,65
