s,p,d
6,66,1905
6,8,2337
10,12,2375
3,67,2052
9,33,680
1,31,116
1,76,550
5,39,517
10,58,967
7,92,1212
6,47,493
9,8,1839
10,15,679
1,80,1045
8,97,1380
9,12,2129
2,96,1036
1,85,2701
8,86,862
3,63,554
5,67,2066
7,60,878
6,7,2248
7,85,1010
10,28,606
2,19,1336
1,81,997
10,76,918
3,43,1415
8,74,763
9,5,2202
4,15,319
1,84,243
6,14,561
10,11,1359
9,5,344
2,28,1402
2,13,1431
6,77,1524
4,58,1991
3,76,637
8,77,2655
4,80,1319
6,8,277
5,28,2313
2,40,486
4,71,497
5,71,1274
7,77,1389
4,79,749
2,4,560
5,37,2032
3,55,562
8,83,571
3,89,932
2,95,2482
9,8,1304
7,48,451
5,93,745
9,15,487
3,14,888
4,17,1699
3,74,2706
6,40,1994
3,31,1231
10,51,2520
5,47,1829
2,35,2600
4,93,2648
7,50,2740
5,98,1201
10,71,484
1,35,1730
8,91,2468
8,34,1576
2,40,1602
10,52,163
5,22,2189
6,52,2253
9,8,2428
3,17,230
10,84,637
6,81,2691
2,13,2576
4,3,2449
1,77,1299
8,26,2090
7,94,793
1,77,919
2,55,1453
2,68,1646
10,63,1323
8,6,1256
5,63,1079
8,3,44
6,3,78
5,7,2002
9,18,2362
7,6,1994
2,16,2282
