s,p,d
3,10,90
10,47,306
7,42,218
3,27,247
1,32,223
2,72,355
5,93,600
4,54,289
1,70,267
7,45,223
9,90,509
3,13,255
5,49,271
5,51,202
3,93,628
4,10,73
3,29,197
7,4,154
4,14,46
1,67,287
9,68,380
3,25,104
10,78,380
1,62,165
10,1,111
2,53,332
9,47,374
4,13,282
9,75,488
6,89,674
2,52,228
2,89,343
7,14,293
1,93,342
9,89,217
4,72,410
4,19,217
10,4,51
5,32,232
10,51,317
3,10,184
10,94,473
4,95,509
4,47,93
3,99,336
8,84,281
8,32,135
1,89,366
5,18,251
5,67,512
1,61,511
9,14,235
5,55,244
8,89,505
4,48,257
7,10,299
10,56,278
6,62,219
10,9,279
7,2,87
9,48,356
5,10,77
5,54,120
8,68,479
4,7,222
1,56,345
6,78,309
9,91,423
7,56,109
4,50,448
4,79,221
9,62,339
6,12,90
9,32,225
10,15,233
6,96,393
7,54,353
8,26,305
7,2,86
6,16,207
10,54,292
2,77,569
6,52,423
3,48,412
1,11,254
7,38,330
10,36,164
5,68,548
10,53,274
1,64,258
1,4,166
6,85,340
10,63,293
6,74,191
4,18,302
3,58,482
1,43,221
8,36,93
5,50,409
1,50,304
