s,p,d
2,4,758
9,66,420
3,89,1688
9,56,1719
6,95,2406
1,21,336
10,28,1387
6,1,1647
1,53,938
8,69,1668
4,47,1488
7,42,2078
2,64,273
1,67,187
4,39,300
4,86,2449
5,64,1990
10,89,651
7,82,1367
7,52,739
6,27,1448
5,99,1021
2,33,275
5,70,1442
1,71,1853
7,10,130
8,21,232
9,95,785
5,37,1608
10,14,1539
5,23,1102
9,78,1397
6,62,369
6,23,1657
10,29,217
10,50,2178
5,29,1522
6,79,2011
10,85,2457
1,72,594
1,19,1914
7,62,366
2,46,1546
1,93,1472
5,42,1490
3,77,421
2,89,2529
7,80,2429
7,55,595
5,41,791
7,33,284
1,41,2155
10,71,468
4,38,1869
8,39,2180
9,40,257
7,53,761
8,87,1168
6,99,1715
8,88,609
2,96,2027
7,74,1308
10,13,1021
8,36,733
2,99,2252
1,85,1430
10,47,929
10,40,1555
1,22,2219
8,25,283
3,94,597
6,31,568
3,27,323
1,14,953
1,7,358
