s,p,d
9,54,256
5,6,141
2,57,72
2,47,234
3,81,185
2,71,260
7,90,245
2,19,62
1,45,197
9,28,123
10,9,153
6,19,237
1,35,232
6,34,87
10,48,294
10,63,374
3,24,205
4,97,639
5,74,422
5,41,289
5,62,186
9,6,45
5,27,181
1,45,191
6,62,273
7,35,204
7,34,188
5,67,395
4,54,213
4,53,197
2,27,212
10,7,100
10,53,168
10,13,189
2,40,227
2,41,258
1,89,382
3,18,103
10,92,260
4,2,169
4,45,204
6,95,326
8,64,291
6,31,163
6,66,142
9,45,229
3,53,216
10,23,84
7,74,262
1,76,308
6,27,215
1,63,400
5,48,170
1,32,140
7,56,303
7,45,148
10,10,54
1,11,114
2,38,222
2,72,270
5,92,530
7,57,286
1,7,167
6,61,349
4,87,161
10,58,192
3,32,131
9,20,130
4,94,557
9,20,153
10,5,106
4,20,206
5,46,164
8,22,209
10,10,181
