s,p,d
4,99,1969
3,54,366
8,51,1094
9,48,1389
4,18,1620
3,35,2044
5,56,471
6,53,1936
5,20,1874
10,42,1644
5,76,549
10,24,500
7,48,1748
8,72,1175
10,91,1209
5,47,217
4,57,1460
2,19,1591
1,43,1675
10,94,1490
2,21,357
6,41,1297
6,21,889
5,32,1578
8,34,950
1,15,382
6,69,1203
3,15,79
7,86,806
6,80,2187
1,51,594
2,79,1647
8,37,1270
8,65,886
7,16,110
6,7,1104
4,69,1618
3,5,1766
5,50,1872
5,92,1966
9,39,621
4,46,1998
5,18,423
1,89,362
9,5,207
6,38,1199
5,82,425
7,47,1584
7,48,184
10,15,201
8,27,766
2,26,387
1,81,709
7,55,794
2,48,1429
7,22,513
4,41,848
7,44,873
8,48,258
7,52,2107
1,71,2149
1,12,597
9,15,742
2,44,160
5,96,1150
3,62,404
3,77,2126
10,16,946
7,73,2047
4,90,559
8,64,769
4,25,871
7,42,1112
3,88,1079
10,37,1994
