s,p,d
5,8,112
1,11,59
4,72,255
10,25,179
9,61,266
9,17,30
8,52,192
1,56,396
2,29,286
6,90,186
8,73,436
8,58,213
2,8,176
10,52,416
8,7,243
10,17,311
5,61,206
3,33,344
6,87,211
9,74,300
10,97,150
5,15,70
1,6,142
7,34,88
10,77,248
2,19,203
2,31,90
4,14,137
9,56,311
8,13,305
5,81,265
8,32,280
10,69,356
2,76,318
4,28,298
4,34,245
7,59,211
9,91,291
9,27,260
8,48,259
4,29,149
8,70,212
1,7,280
8,94,406
3,39,274
8,27,154
6,74,202
3,16,38
8,42,332
9,81,288
7,80,281
4,53,197
4,56,179
9,5,33
1,93,153
7,58,214
9,72,192
8,2,29
3,42,248
9,44,320
10,98,192
3,20,269
8,70,249
8,69,257
7,50,310
4,18,295
9,44,151
1,68,377
7,62,349
6,50,351
5,94,377
2,8,182
3,57,194
6,2,13
6,91,281
1,87,389
5,37,214
8,54,240
10,58,368
5,79,203
4,20,255
8,93,331
2,27,189
10,1,210
5,5,56
6,52,209
9,28,126
9,27,155
8,90,274
10,93,238
3,19,99
3,41,347
8,15,54
1,23,210
1,44,380
10,17,41
2,40,192
1,48,240
7,46,322
7,54,192
