s,p,d
5,94,399
3,98,516
8,11,185
9,55,210
4,94,186
7,84,317
10,69,214
10,15,253
6,34,111
3,51,87
6,89,335
6,38,295
9,71,270
8,84,240
8,51,434
8,69,314
5,56,277
6,77,207
8,78,275
9,87,422
1,23,226
3,55,114
3,67,379
7,25,308
8,69,407
8,93,425
2,14,146
6,78,148
2,24,165
8,12,119
2,24,106
9,98,416
5,98,584
3,69,308
10,11,143
7,75,231
5,34,338
6,37,235
5,76,410
5,8,145
4,24,47
4,63,333
9,93,406
4,63,442
9,36,357
4,24,150
7,58,331
9,19,221
6,16,224
10,62,207
3,43,241
1,95,486
2,75,314
8,14,250
1,28,347
3,76,242
8,75,234
1,20,291
10,25,304
6,19,120
8,92,324
2,30,343
10,94,329
10,45,171
7,71,433
9,90,648
2,34,190
3,23,208
4,67,249
1,20,248
10,70,394
9,42,317
7,76,402
1,71,480
3,28,134
