s,p,d
6,82,1016
1,30,155
7,18,1281
10,13,613
4,15,411
10,44,185
9,34,953
2,70,952
2,89,943
6,93,786
4,35,1267
9,13,372
4,28,913
9,71,1210
3,6,963
6,95,1105
1,23,1083
4,78,734
6,15,705
9,11,750
6,98,403
9,97,1205
9,2,17
3,50,1243
2,21,566
1,28,383
10,96,1320
9,89,325
9,28,855
8,41,1238
2,77,617
1,31,1111
9,18,470
4,86,968
5,68,356
9,57,902
1,58,1116
10,23,628
9,75,358
3,53,890
2,39,1243
6,95,663
1,53,955
7,37,1355
7,67,1520
9,49,171
6,19,1201
5,46,824
5,86,478
2,74,806
