s,p,d
3,8,925
7,57,1418
10,51,1299
2,33,1514
2,28,1282
7,87,1179
9,29,148
6,20,1538
9,63,671
7,18,268
9,17,353
9,47,1307
5,71,170
9,73,1404
9,42,389
8,51,1542
8,89,456
4,88,356
3,29,1012
6,21,643
8,9,700
9,3,191
6,86,1356
6,54,389
2,63,317
1,76,719
1,21,191
2,51,941
1,83,903
7,60,208
10,4,942
2,41,230
8,61,1183
7,92,310
7,65,820
10,60,1576
5,78,1283
8,32,881
2,30,934
1,45,1501
10,49,1451
3,41,1278
7,81,1184
7,88,854
10,14,297
6,90,767
5,78,316
8,9,1396
9,66,1153
10,10,1021
