s,p,d
9,17,1072
3,40,1069
8,18,1280
3,57,1128
5,80,1109
5,84,108
4,94,1586
6,54,1955
2,18,1996
10,98,1118
3,17,1576
9,5,2165
1,33,367
8,46,1422
1,73,775
7,88,323
6,88,1189
7,84,804
9,55,1273
3,60,1066
10,11,716
8,24,1117
6,55,2007
4,63,931
4,85,2120
2,94,1314
7,55,777
7,25,445
8,42,1536
3,75,1408
9,5,63
4,42,301
7,20,1893
8,32,2170
2,80,2148
3,58,974
10,30,240
9,30,1412
7,43,581
7,19,1835
6,96,2109
4,40,1054
6,70,2264
7,25,2081
2,93,768
5,30,647
3,89,2163
4,60,1766
4,55,1444
2,43,1785
6,83,2190
5,27,2053
3,96,1175
5,65,504
1,97,601
2,42,790
10,98,2349
7,81,1273
10,27,600
6,44,687
5,93,1717
1,12,1956
3,93,813
2,78,2024
1,38,246
10,50,1945
6,4,1674
4,68,612
7,63,2010
3,69,1364
10,9,2147
7,73,1170
8,29,1751
2,36,1837
3,39,817
