s,p,d
10,72,1728
6,60,168
4,98,477
4,4,788
5,45,2113
7,18,605
2,43,2347
2,75,887
2,30,1415
10,16,1670
1,7,1198
8,56,392
5,54,2214
10,11,2401
7,63,703
4,79,475
6,81,387
5,23,1643
10,23,356
10,11,1692
3,28,1302
2,54,2318
10,31,1140
8,88,917
6,28,2262
5,51,1351
4,94,1143
1,96,504
10,39,1862
2,99,1853
3,57,711
9,87,1300
2,70,1463
4,61,965
9,96,269
5,31,1096
7,59,1709
8,40,556
9,72,2200
8,98,296
8,91,2381
4,94,883
10,8,884
2,4,1383
9,38,700
6,85,749
10,4,1731
2,57,622
2,53,180
7,56,583
6,4,1070
10,73,1932
6,91,2180
3,58,650
9,73,2452
9,9,759
3,76,1913
9,7,789
5,45,848
7,43,680
9,91,1763
9,79,1465
2,77,703
5,91,1160
9,30,2364
6,48,2208
10,63,2181
5,58,2442
8,55,1910
5,54,1500
7,75,440
9,27,73
4,23,2023
10,10,1456
3,45,331
