s,p,d
4,53,438
10,65,358
1,66,400
3,79,331
1,38,132
9,45,224
4,46,205
5,62,394
5,57,343
9,56,370
8,37,338
1,80,596
10,88,341
2,50,212
1,93,354
5,77,385
6,75,342
9,88,285
5,48,228
3,83,175
5,87,424
5,19,291
9,85,340
9,74,242
3,8,85
2,90,381
7,48,410
2,39,433
2,61,338
4,97,478
1,88,307
2,5,185
5,75,411
6,69,128
10,50,494
6,91,296
1,94,206
5,95,406
5,86,189
6,8,254
2,7,65
7,89,283
4,23,196
10,74,408
7,30,325
2,84,320
5,54,507
9,1,239
7,23,307
4,69,463
6,75,348
5,86,385
6,41,339
4,70,353
3,55,422
1,65,479
4,27,126
5,58,254
7,45,278
9,87,650
9,33,281
1,97,486
1,25,164
7,34,184
10,92,444
8,35,188
5,86,657
1,81,348
2,19,300
6,22,219
2,58,256
7,83,191
10,50,153
7,83,407
7,57,277
5,9,114
6,18,177
8,9,300
1,96,606
3,11,92
5,72,397
6,94,366
8,7,162
4,28,327
5,30,294
2,15,187
2,18,265
10,32,291
2,67,353
8,39,231
10,61,394
3,7,201
7,39,346
1,75,110
5,23,306
8,66,345
8,57,137
3,64,259
9,17,213
2,10,79
