s,p,d
6,61,332
6,67,122
3,70,94
8,9,242
2,66,158
8,42,184
1,82,273
10,28,258
5,29,228
6,45,219
3,70,274
9,92,240
7,59,397
1,36,100
5,38,102
3,96,430
1,77,382
9,19,121
7,91,441
7,25,237
1,80,156
5,90,255
2,29,86
5,60,259
8,53,127
3,19,230
1,70,368
2,40,139
8,19,106
4,59,230
1,15,72
8,40,230
8,18,252
4,18,127
7,53,204
9,95,361
7,31,82
4,37,258
7,5,31
4,68,155
10,37,235
9,27,96
1,90,182
4,47,292
9,15,147
3,42,142
3,57,273
5,78,177
9,68,204
2,75,136
5,20,137
4,47,261
7,7,48
8,12,89
4,61,198
3,87,289
2,46,280
3,3,184
1,52,206
2,29,241
8,62,192
10,84,145
5,23,61
2,88,290
4,72,147
5,40,344
7,63,307
9,91,165
7,51,196
1,85,204
6,60,240
6,36,177
1,2,36
7,8,168
3,80,430
6,90,161
2,40,162
7,22,193
2,81,428
6,33,175
6,33,226
9,91,466
7,67,233
1,24,159
7,75,262
10,61,164
5,77,266
8,18,177
6,89,356
8,40,342
4,15,29
5,19,149
3,80,437
1,24,123
1,10,44
8,57,165
5,14,72
5,47,111
10,25,293
9,22,272
