s,p,d
2,48,281
10,3,128
9,53,144
7,29,129
9,51,406
5,57,294
3,67,267
1,35,71
8,3,23
2,23,179
4,49,212
7,92,380
7,46,293
5,46,288
8,17,189
10,90,494
9,38,153
8,80,451
2,89,537
6,61,347
5,21,69
4,23,262
10,90,481
2,94,251
9,33,249
1,99,156
7,67,246
9,89,330
10,51,289
7,85,186
3,56,128
10,39,156
1,79,321
4,53,368
1,88,388
1,53,195
5,71,201
7,72,181
6,30,153
4,26,112
9,79,314
7,42,162
8,60,253
4,30,181
5,65,435
6,51,104
5,80,358
3,59,206
10,21,60
6,93,311
2,77,121
5,94,516
5,51,190
6,3,125
7,3,202
10,26,61
9,72,256
2,40,314
7,10,61
1,96,345
3,68,259
3,10,115
4,13,194
2,90,396
2,68,373
8,12,126
4,90,267
1,58,372
7,68,272
2,43,124
9,32,220
2,76,218
4,97,458
5,22,312
1,6,185
6,53,186
7,99,427
6,56,200
8,79,340
6,57,179
1,87,373
8,53,278
7,75,253
7,1,59
8,94,381
3,60,379
6,54,264
5,44,255
9,97,421
5,48,216
10,48,125
5,50,234
1,58,278
7,25,106
8,23,317
3,69,313
2,4,204
10,94,412
7,85,394
9,65,435
