s,p,d
9,43,896
9,39,1156
6,16,1645
6,12,2525
6,76,755
8,55,696
2,48,918
2,11,1912
9,75,443
7,15,190
6,99,456
1,88,2494
4,89,784
8,32,1363
10,79,1294
10,84,2086
8,53,1893
10,31,1249
1,34,2044
2,25,1744
8,19,623
6,2,1384
8,2,879
7,47,1296
6,40,1418
8,3,129
10,11,2216
1,71,1830
7,86,311
3,99,2052
9,14,395
9,7,1288
1,93,2782
5,36,1480
5,57,532
9,92,609
2,51,2686
10,50,690
1,92,2172
3,81,2333
5,40,725
4,18,769
1,24,987
5,56,2203
4,86,206
3,49,521
4,84,1566
10,85,1592
4,74,1884
7,2,322
6,68,353
10,20,1125
10,76,265
3,55,1612
1,85,2204
8,17,2497
6,39,1046
9,98,2815
4,52,2472
8,17,999
4,95,2467
2,77,1267
1,33,1033
4,42,1748
1,16,764
8,61,616
2,13,1835
6,45,1190
4,3,822
2,60,868
8,97,1290
6,88,1175
3,13,685
7,71,1991
2,67,1732
5,58,595
3,27,1709
1,70,1497
1,60,2295
3,29,1442
2,49,2721
1,31,775
2,90,244
7,45,156
7,51,347
3,89,1378
3,11,604
8,67,547
4,46,1575
7,45,2681
5,5,485
6,25,817
9,6,1622
7,95,2336
10,26,463
9,32,440
2,12,120
6,13,741
2,65,2104
7,28,822
