s,p,d
4,1,1108
10,51,330
7,26,463
4,56,860
9,14,982
2,50,544
7,94,516
2,84,1987
5,84,1659
1,59,1094
6,73,375
4,10,1652
6,60,1832
6,14,1283
9,33,791
3,49,184
2,30,1644
8,65,1098
4,89,1167
9,3,772
4,41,1435
8,8,1313
6,99,1742
9,2,557
6,69,1080
2,34,1260
9,86,1179
10,80,1568
2,14,1180
4,32,870
3,16,884
1,98,1129
1,35,696
4,21,24
2,94,1833
5,83,1754
4,31,691
7,21,634
2,17,1711
3,30,655
7,46,921
4,63,1572
8,49,1366
10,23,194
2,24,846
5,33,1194
7,40,1673
10,4,436
9,94,2101
7,61,1430
5,85,1847
8,74,1311
2,93,1712
6,36,303
5,13,1692
6,34,1458
1,34,1531
10,71,325
7,21,700
6,63,994
10,95,809
7,94,1887
8,41,1972
2,32,339
2,68,2075
3,89,441
2,46,1626
6,56,211
5,26,1465
1,59,1476
4,92,495
10,87,782
3,36,1687
3,41,1053
3,5,484
