s,p,d
1,86,323
1,10,637
2,58,304
9,77,488
2,88,779
10,78,1093
10,1,1484
1,32,1426
2,77,188
10,86,641
5,79,1124
10,82,239
4,21,2151
10,46,1094
1,64,1121
8,26,1682
6,33,369
10,44,561
3,75,1542
8,98,947
3,94,536
1,63,1605
10,76,1677
9,27,1999
3,19,598
6,43,1826
7,12,1585
10,95,1320
9,51,2125
2,74,1404
6,64,2215
1,65,279
4,2,312
1,35,49
2,74,220
3,29,693
7,26,1847
1,60,454
2,72,301
6,99,913
7,32,2050
5,51,2053
3,62,1895
5,34,2007
6,32,2047
5,23,352
8,44,418
5,6,413
6,33,2052
1,88,1165
5,66,1614
6,5,273
1,53,1632
9,78,2012
4,17,409
1,72,1079
7,93,357
6,97,1843
7,60,1091
5,88,1589
3,29,1724
2,33,1668
8,1,884
1,78,1689
4,50,1329
1,71,2268
3,91,1709
8,69,1749
9,38,694
6,84,434
8,75,720
6,84,2253
4,74,1850
6,30,2043
9,65,847
