s,p,d
2,73,486
5,23,209
2,39,82
2,6,144
2,96,476
3,53,290
8,72,158
7,39,283
2,37,312
2,9,209
2,6,78
4,37,112
5,46,133
5,11,182
5,51,274
6,20,148
10,38,184
3,64,405
1,36,130
1,16,125
5,95,166
8,80,381
5,38,269
4,81,339
3,31,169
8,97,520
3,10,100
9,11,69
3,65,161
8,70,409
5,86,261
4,30,170
6,81,327
7,72,376
2,84,113
10,78,404
3,59,106
10,59,165
7,91,143
4,81,398
8,13,154
3,41,234
1,32,181
8,2,186
3,4,88
7,32,252
9,34,204
3,93,425
9,43,174
10,85,255
2,73,294
1,23,244
9,86,348
7,25,230
8,13,197
1,4,165
6,14,186
9,52,215
1,21,205
1,86,455
7,93,515
6,55,133
7,84,480
7,70,251
4,38,261
7,88,386
8,11,216
2,72,238
6,47,324
3,61,144
6,3,18
2,8,62
3,33,135
4,87,439
7,44,208
