s,p,d
7,55,500
3,55,2718
4,80,859
9,20,410
3,64,1721
3,62,566
9,17,439
6,45,283
9,29,2835
2,62,1325
3,44,546
3,99,2925
1,82,1941
10,8,2521
9,71,2787
6,77,1901
6,24,2745
7,80,2521
9,7,254
9,46,2476
8,67,2644
7,37,323
7,32,1615
7,40,104
5,52,1756
7,64,425
6,26,1388
3,8,388
3,64,1069
5,90,1848
5,12,2312
7,78,1978
7,16,867
1,31,1994
5,45,1734
7,76,2011
9,49,1470
8,64,611
2,49,1797
9,73,464
10,86,291
3,52,2420
7,74,378
1,67,908
4,12,1385
5,99,1746
10,1,1621
5,18,102
2,95,3091
5,40,1033
5,80,2487
9,2,1835
7,50,289
10,73,2016
5,18,2331
8,16,1328
9,25,206
9,32,1036
8,75,707
7,8,2144
5,48,254
4,83,1634
9,40,1137
3,60,2121
10,89,2067
2,80,2070
1,4,218
7,93,1677
10,73,182
8,34,2288
5,89,3001
5,25,2165
6,26,432
3,41,1915
7,26,802
3,45,1495
10,56,2613
4,28,932
10,42,1858
6,52,242
5,80,1993
7,57,1768
5,14,235
2,8,1254
10,80,1706
1,49,2466
4,33,566
1,40,453
9,99,1637
4,52,1865
10,31,313
2,78,2946
1,75,1790
4,51,1970
7,28,192
4,28,340
10,13,276
9,10,79
8,23,2026
1,86,518
