s,p,d
9,30,224
10,79,309
9,70,355
7,88,312
10,27,97
2,62,167
3,88,309
8,52,208
10,79,294
7,32,89
5,47,169
8,8,27
7,45,86
3,13,148
4,17,166
7,67,336
10,66,187
7,73,125
3,29,250
2,18,162
10,16,161
2,47,140
4,51,169
9,6,131
2,84,379
7,82,270
6,84,179
10,62,143
9,1,154
2,39,107
10,3,188
3,66,308
9,85,390
10,18,79
2,35,106
3,40,191
7,57,329
4,34,145
8,74,179
9,93,338
7,58,275
9,15,86
7,37,209
2,92,388
3,30,140
1,48,289
1,49,127
4,73,370
4,22,114
10,61,308
5,75,262
1,92,371
3,35,108
1,44,286
4,82,206
8,13,207
7,12,177
3,95,297
9,46,132
7,29,200
5,49,129
6,28,157
6,85,143
5,29,260
5,67,194
10,86,352
1,47,168
5,96,168
3,96,302
4,30,109
10,13,64
4,42,198
3,18,183
2,26,215
3,63,175
