s,p,d
7,1,25
8,67,243
6,55,204
2,59,203
10,1,153
10,67,206
9,90,374
8,25,223
7,86,307
2,34,190
4,94,284
8,27,60
2,96,267
1,9,85
3,89,359
6,70,284
8,2,56
9,30,206
5,15,112
3,86,350
4,57,237
9,46,190
1,92,414
8,12,149
5,81,362
8,73,397
8,26,103
10,19,50
5,81,329
1,88,220
5,46,138
6,80,300
3,10,108
4,61,239
1,83,250
8,61,115
1,65,213
9,21,177
8,89,207
9,63,327
6,18,108
10,63,260
3,83,396
5,93,331
2,89,204
7,93,154
6,47,142
9,80,114
6,59,272
10,8,52
10,48,258
10,23,36
5,10,16
2,11,200
6,11,82
2,76,246
2,9,114
5,70,255
1,11,60
5,78,245
8,37,282
2,13,111
3,27,252
4,9,216
1,42,208
6,55,129
4,7,142
6,90,267
8,35,120
1,70,354
8,90,291
1,31,109
2,27,142
5,92,291
2,58,288
