s,p,d
9,71,538
1,67,313
7,52,190
10,30,179
8,98,481
5,12,181
2,66,298
4,89,325
9,60,377
5,64,331
1,66,350
5,20,178
3,60,338
2,29,249
10,1,130
5,53,209
8,34,287
7,56,429
2,93,376
2,92,462
5,35,150
7,64,278
7,82,222
2,32,285
1,23,278
5,58,240
7,41,202
7,68,207
4,19,178
5,28,250
8,89,210
10,88,130
4,73,438
6,35,174
2,94,452
3,59,383
8,94,343
1,97,395
4,49,320
3,89,125
2,88,362
7,44,285
9,52,349
4,97,229
6,67,265
3,67,417
8,66,276
5,47,296
7,60,411
10,68,308
2,65,284
3,82,303
4,2,203
3,73,311
4,69,263
1,52,299
8,12,151
7,57,147
9,71,137
2,9,242
4,63,274
8,35,221
9,45,247
3,15,201
9,34,206
3,63,302
9,39,197
10,13,238
4,51,214
5,98,383
4,71,314
3,3,214
2,20,191
6,79,402
6,95,352
