s,p,d
3,96,373
5,73,201
10,81,294
2,17,116
6,72,214
1,87,348
10,98,446
10,72,181
5,7,142
1,49,278
4,48,286
8,82,356
8,15,45
3,98,323
4,68,158
10,93,106
2,45,246
4,27,172
2,15,111
4,39,217
9,49,162
4,45,159
8,94,541
1,40,188
9,94,185
9,89,167
1,55,235
4,21,220
8,17,37
6,80,338
8,99,447
8,91,264
5,7,82
1,88,280
4,41,270
4,30,272
5,31,256
5,72,291
10,98,246
8,37,145
7,96,339
6,27,243
9,26,127
6,13,91
7,54,212
6,83,411
5,80,97
8,61,328
5,28,135
3,49,227
