s,p,d
3,30,248
2,12,116
8,37,225
1,27,146
7,79,95
7,12,166
10,21,98
5,83,432
3,61,232
9,88,224
2,69,217
1,59,277
2,38,91
3,85,226
2,46,183
6,99,361
7,6,117
7,53,383
1,33,117
6,7,143
3,72,232
10,16,157
7,74,240
9,15,96
8,72,370
3,85,137
3,59,224
4,27,112
1,10,115
1,4,140
6,38,211
6,79,121
4,49,223
9,30,139
9,77,416
3,40,197
7,42,141
3,60,278
10,56,94
10,53,220
10,84,345
3,87,170
8,96,461
9,15,167
8,20,201
6,95,494
10,29,196
1,89,391
2,75,356
10,96,516
