s,p,d
4,95,456
9,81,235
9,27,274
1,51,320
9,37,232
8,5,73
6,44,199
5,76,243
3,31,177
2,99,650
6,23,272
6,70,471
3,56,245
5,61,254
8,28,178
2,22,167
5,56,207
7,9,43
2,35,198
1,71,164
9,25,148
6,18,139
3,59,263
3,32,168
5,90,375
9,26,169
2,87,445
8,1,3
7,80,491
4,37,206
6,80,185
3,46,366
9,71,330
4,15,139
1,78,466
7,96,366
10,41,212
2,51,200
8,81,439
3,7,29
2,88,421
1,35,259
4,22,104
10,19,86
7,54,219
4,2,20
1,32,195
2,2,67
3,24,218
6,71,409
3,83,137
2,90,408
2,22,193
2,77,358
4,26,123
9,1,20
3,87,342
10,76,446
9,14,208
5,37,305
4,47,308
3,52,278
10,11,85
5,90,531
10,62,299
3,4,86
10,93,458
8,17,104
8,72,454
7,19,190
4,32,259
5,14,220
3,30,117
9,46,95
2,66,342
