s,p,d
9,34,188
8,10,136
2,66,318
7,96,274
3,80,466
10,59,84
10,39,161
9,72,303
9,95,310
5,52,265
3,29,83
3,75,132
5,34,98
5,28,177
7,74,347
8,97,289
2,85,321
9,53,342
10,42,252
1,1,108
10,54,239
3,70,363
7,30,86
6,30,336
7,63,172
9,70,253
1,79,334
8,61,169
2,98,358
6,19,258
1,52,352
9,92,516
3,3,41
7,7,184
6,26,281
1,62,254
8,84,295
7,44,167
10,42,131
6,19,172
8,84,327
4,95,304
7,72,292
9,14,46
4,74,260
10,43,336
8,46,221
9,44,281
3,81,147
7,93,292
6,92,382
3,20,107
2,69,241
3,27,213
2,42,149
3,87,161
9,41,252
2,67,445
10,41,335
3,64,343
5,89,267
1,11,60
2,28,316
3,42,108
2,79,421
6,75,277
9,30,219
6,97,452
3,68,255
2,98,387
2,8,121
6,64,156
7,66,381
2,63,189
8,27,242
3,27,242
5,34,129
6,72,333
7,78,224
8,60,420
7,13,250
4,46,223
5,32,304
10,3,21
4,99,222
8,75,320
2,22,146
10,69,443
1,57,156
1,96,228
1,76,274
5,3,198
10,54,224
4,7,173
10,86,316
6,57,185
2,55,317
4,33,169
2,4,245
1,26,66
