s,p,d
2,84,551
1,9,1800
2,9,1697
8,16,955
2,37,1444
3,52,529
1,88,311
10,70,889
3,71,2061
9,82,1999
10,91,1002
6,73,824
7,17,516
4,38,1766
3,77,947
3,61,2231
7,61,1169
7,12,2061
3,79,1438
5,85,1466
5,84,294
10,54,2017
2,95,535
6,48,2148
1,16,357
3,44,1374
6,14,2059
3,82,2225
9,32,405
6,82,1289
3,93,1994
8,70,197
9,98,2272
7,19,1696
4,56,942
10,85,428
3,42,1676
10,37,336
3,41,1030
6,95,265
9,61,1081
6,50,1343
2,76,1727
8,83,1772
10,78,1730
6,59,1962
9,5,275
4,15,317
2,26,231
7,24,1845
7,38,548
3,38,1463
9,71,1317
5,96,1260
8,46,2049
1,25,1947
9,78,664
3,73,1546
4,91,742
4,52,1724
6,8,1172
7,96,2185
1,97,539
3,15,1100
10,52,1239
10,79,401
4,54,2050
2,75,1583
6,16,1569
2,89,2259
1,60,1164
1,58,1652
10,19,1135
9,47,2301
1,6,1332
