s,p,d
10,48,831
4,76,810
7,87,273
6,85,1519
10,83,2315
3,78,2413
10,79,163
9,11,1922
10,1,2345
5,67,450
8,20,1472
5,32,547
10,69,2500
9,67,952
4,88,1628
7,44,272
7,73,985
2,95,621
5,87,1488
10,1,1679
6,33,1726
10,86,1225
6,27,213
9,58,575
10,69,2249
7,46,2519
6,68,2036
2,57,1835
5,4,672
8,53,1297
3,82,335
9,30,186
9,89,1623
2,93,1852
1,61,812
1,58,692
4,99,249
10,24,2030
5,59,1901
3,63,1284
10,21,746
4,91,1485
8,73,2667
3,34,2297
4,21,361
5,73,2194
10,64,1056
4,87,2361
4,25,1525
2,62,1023
2,7,727
9,79,2076
2,41,2503
8,88,1114
3,91,290
8,38,2004
8,24,2376
9,79,1463
3,48,1735
2,41,2186
5,79,202
10,52,1669
10,18,1072
6,39,1770
8,90,297
3,57,540
1,55,859
8,99,2435
4,3,1299
2,35,888
7,78,2513
10,2,969
9,32,1610
5,40,646
3,43,2326
