s,p,d
4,1,26
1,23,176
1,25,51
7,91,160
5,47,134
8,40,132
4,88,253
10,78,162
5,43,229
4,15,158
4,13,69
5,25,166
3,11,35
4,90,257
8,64,272
3,95,204
10,93,144
1,38,94
8,59,189
4,50,60
7,92,298
6,57,287
1,98,339
8,10,96
8,15,28
7,95,251
10,50,267
10,54,287
7,70,278
1,30,115
8,59,178
7,60,150
9,13,182
8,59,193
10,8,80
6,72,122
4,3,80
1,61,320
9,96,261
8,20,106
10,23,188
6,60,136
2,81,246
5,65,206
4,20,60
8,56,218
9,32,136
9,87,255
10,94,218
8,75,192
