s,p,d
6,96,1452
9,35,548
4,72,1440
3,52,535
1,26,655
9,35,1341
2,54,144
3,85,1304
3,14,674
10,78,977
5,54,1051
4,79,484
6,96,346
2,80,947
9,51,1232
3,12,1461
3,84,1323
7,19,44
1,11,1069
5,57,848
9,29,1343
9,9,509
8,76,677
9,41,251
9,25,984
10,40,812
1,87,857
5,36,629
2,53,1281
6,33,688
6,40,463
1,88,1107
2,56,1245
1,37,379
10,81,1561
8,94,1480
6,51,1323
5,68,509
7,45,430
9,93,647
4,85,390
5,91,1373
9,23,682
6,26,323
3,29,874
10,19,719
5,71,685
2,2,957
10,94,1403
10,70,1351
