s,p,d
10,16,1340
2,31,943
8,56,588
4,45,60
3,19,928
6,39,1341
5,69,1427
6,35,864
5,68,415
7,70,866
2,8,160
6,26,1453
5,85,623
5,52,1629
2,47,565
10,36,507
6,10,1121
3,47,1282
10,87,617
4,47,1305
10,64,426
4,51,1009
7,86,831
8,47,194
1,65,1445
8,64,1139
8,34,1204
5,94,458
8,60,1076
3,64,689
2,65,778
8,33,1490
9,18,533
9,48,613
1,11,662
9,30,577
1,36,1091
9,88,600
7,84,576
5,71,343
5,2,1021
4,41,1288
10,2,824
4,73,503
4,86,915
3,80,458
8,54,1659
6,46,1308
10,76,423
4,82,1476
