s,p,d
10,4,17
5,77,151
10,80,319
1,45,291
9,46,315
6,34,214
6,48,152
9,78,245
9,22,222
1,32,151
9,38,152
3,54,350
5,41,113
3,38,211
10,66,277
3,32,145
2,70,473
10,88,184
9,53,220
2,64,155
10,22,218
4,17,89
4,55,198
8,24,257
2,35,197
1,65,312
4,91,601
4,5,56
3,41,211
7,87,222
5,52,243
9,22,289
3,20,110
6,35,330
6,95,247
1,89,431
2,37,245
10,37,239
6,37,296
9,98,319
2,81,345
7,61,326
1,20,117
8,62,279
2,72,165
6,62,316
2,74,200
3,72,183
6,70,534
7,32,301
5,69,417
1,24,160
7,68,353
10,8,231
7,47,147
8,41,166
3,66,447
9,3,64
8,42,300
5,78,278
7,45,232
2,99,515
6,97,333
6,22,188
2,14,79
3,36,196
9,59,187
7,66,262
4,58,193
1,86,248
4,61,217
4,88,192
10,64,334
5,26,234
8,5,87
