s,p,d
5,36,146
2,1,6
2,28,248
7,84,409
1,15,154
7,43,160
7,79,283
5,67,221
9,57,383
6,97,181
2,65,215
10,21,185
4,13,36
9,41,213
8,24,203
1,19,95
7,28,96
4,51,263
8,69,330
9,56,216
8,80,241
5,26,211
8,53,232
10,49,250
10,76,281
7,36,197
4,67,233
3,52,225
7,61,295
6,16,147
8,84,213
1,27,185
7,85,348
6,6,223
7,37,114
9,31,254
4,97,247
9,5,128
4,30,238
5,68,236
4,78,403
3,89,435
5,94,226
6,53,181
2,15,108
5,50,281
4,81,251
6,27,153
10,6,127
5,74,324
8,82,219
5,10,177
9,13,62
7,63,287
7,99,234
5,81,245
10,37,70
4,90,329
6,52,139
4,13,61
5,51,146
4,92,301
2,6,192
2,21,240
8,45,276
7,4,173
1,62,218
10,76,220
8,35,165
7,17,241
1,63,310
7,33,59
10,90,303
9,98,399
5,53,82
