s,p,d
8,35,218
7,94,311
6,6,132
2,63,320
5,75,319
5,95,162
2,93,297
5,92,317
8,77,355
4,29,88
10,62,187
1,83,213
7,49,230
10,16,159
2,27,185
5,59,239
5,21,262
8,1,175
1,98,324
1,99,376
9,83,227
5,70,203
5,49,223
5,21,162
10,78,225
10,12,195
4,20,39
1,10,102
4,9,118
10,5,16
6,56,228
1,75,238
10,11,83
9,51,164
9,86,143
4,62,194
2,44,147
1,44,311
5,41,117
1,72,149
4,25,143
3,77,199
7,96,258
3,51,145
1,98,486
4,79,234
9,75,314
8,94,212
10,52,270
7,7,27
10,70,267
5,1,53
3,53,299
8,51,204
5,6,177
8,53,70
8,42,86
2,4,166
7,46,156
8,50,167
1,47,266
4,41,220
2,31,137
1,66,177
5,48,137
4,63,166
10,59,173
9,49,190
10,69,201
2,56,136
2,96,332
5,56,287
6,16,91
8,4,153
9,33,109
