s,p,d
7,82,214
4,95,265
3,69,160
1,51,159
2,48,146
1,81,215
6,62,232
8,12,46
1,43,177
8,92,110
10,69,266
4,91,222
5,97,234
1,62,235
8,84,155
8,58,139
8,93,208
8,80,287
10,70,254
8,4,162
7,91,364
6,84,185
6,99,274
1,99,200
3,81,314
8,92,282
9,38,253
6,7,23
7,87,339
5,70,213
7,54,170
1,4,145
1,92,305
4,35,149
9,77,333
3,66,305
5,24,180
2,3,11
4,81,258
10,76,157
6,45,124
6,67,243
10,20,200
8,75,181
9,16,95
7,20,160
5,83,261
1,47,177
3,70,219
4,1,97
