s,p,d
9,52,988
3,94,1481
1,92,442
4,48,1011
9,90,857
9,95,1120
4,43,625
4,39,218
7,85,262
4,80,1309
1,35,454
3,32,567
6,19,733
8,21,1135
5,32,976
8,40,366
10,98,291
5,78,512
8,29,988
3,1,228
7,19,385
7,5,866
7,82,283
5,8,1261
8,75,1396
8,10,215
5,92,1260
8,86,828
2,3,773
5,44,335
3,7,1232
2,1,835
2,59,1192
3,26,831
6,74,960
3,97,1194
4,39,1365
3,10,804
7,35,627
10,92,802
5,35,1004
7,84,621
4,40,1264
8,95,1460
6,31,1369
2,23,399
4,17,1343
7,62,985
7,27,182
5,49,441
